Market,Well-milledRice (Local),Tilapia,Galunggong (Local),Egg(Medium)
1.1,46.5,160.0,360.0,8.0
1.2,49.0,135.0,-1.0,7.5
1.3,47.5,150.0,-1.0,7.65
1.4,50.0,175.0,350.0,8.62
2.1,47.5,130.0,310.0,7.5
2.2,45.5,160.0,260.0,8.25
3.1,47.5,155.0,310.0,7.75
3.2,39.0,160.0,320.0,8.25
4.1,-1.0,160.0,-1.0,7.5
4.2,51.0,155.0,-1.0,8.35
4.3,47.5,160.0,-1.0,7.6
4.4,44.0,160.0,350.0,8.25
4.5,45.0,130.0,285.0,8.9
5.1,50.0,150.0,-1.0,8.9
6.1,46.5,135.0,310.0,7.5
6.2,46.5,145.0,350.0,7.6
7.1,50.5,155.0,300.0,8.0
7.2,46.5,155.0,350.0,8.0
7.3,42.5,155.0,300.0,7.6
8.1,46.5,175.0,-1.0,7.8
8.2,52.0,160.0,300.0,8.0
8.3,41.0,160.0,260.0,8.15
8.4,42.5,135.0,280.0,8.38
8.5,43.0,125.0,270.0,8.5
8.6,-1.0,160.0,-1.0,7.25
9.1,47.5,150.0,300.0,7.75
10.1,46.5,155.0,320.0,7.75
11.1,46.5,160.0,330.0,8.25
11.2,47.0,155.0,-1.0,7.75
11.3,53.0,155.0,300.0,7.75
